Player,Year,FirstServe,FirstServePointsWon,FirstServeReturnPointsWon,SecondServePointsWon,SecondServeReturnPointsWon,Aces,BreakPointsConverted,BreakPointsFaced,BreakPointsOpportunities,BreakPointsSaved,DoubleFaults,ReturnGamesPlayed,ReturnGamesWon,ReturnPointsWon,ServiceGamesPlayed,ServiceGamesWon,TotalPointsWon,TotalServicePointsWon,Wins,Losses,Winnings,Ranking
Rajeev Ram,2015,0.63,0.75,0.24,0.52,0.43,127,0.38,80,64,0.65,31,183,0.13,0.31,181,0.85,0.5,0.67,24,23,205208,1054
Pedro Sousa,2011,0.63,0.69,0.28,0.33,0.48,6,0.67,7,3,0.43,1,13,0.15,0.35,13,0.69,0.46,0.56,0,1,16434,119
Roberto Carballes Baena,2015,0.63,0.65,0.25,0.45,0.51,8,0.54,29,13,0.62,8,35,0.2,0.36,35,0.69,0.48,0.57,1,2,85424,75
John Millman,2015,0.63,0.7,0.24,0.5,0.5,36,0.38,85,97,0.52,25,181,0.2,0.35,180,0.77,0.49,0.63,5,9,267787,91
Leonardo Mayer,2017,0.63,0.72,0.27,0.56,0.5,128,0.4,108,120,0.61,51,250,0.19,0.36,243,0.83,0.5,0.66,11,8,654598,46
Nicolas Kicker,2016,0.63,0.61,0.3,0.56,0.56,4,0.48,30,25,0.6,10,43,0.28,0.4,42,0.71,0.5,0.6,1,2,97361,90
Florian Mayer,2010,0.63,0.71,0.29,0.52,0.5,166,0.38,252,272,0.63,68,476,0.22,0.37,474,0.8,0.51,0.64,23,18,469928,74
Matteo Trevisan,2015,0.63,0.64,0.35,0.44,0.53,1,0.44,7,9,0.29,4,13,0.31,0.42,14,0.64,0.5,0.56,0,1,12044,1429
Sergiy Stakhovsky,2013,0.63,0.71,0.29,0.5,0.45,159,0.36,164,166,0.55,67,327,0.18,0.35,328,0.77,0.49,0.63,11,17,324781,121
Florian Mayer,2013,0.63,0.69,0.3,0.51,0.48,231,0.41,323,342,0.59,89,615,0.23,0.37,600,0.78,0.5,0.62,29,26,677398,74
Sergiy Stakhovsky,2010,0.63,0.71,0.28,0.47,0.5,327,0.35,331,313,0.6,119,574,0.19,0.36,588,0.77,0.49,0.62,27,25,531864,121
Sergiy Stakhovsky,2009,0.63,0.72,0.27,0.49,0.48,175,0.45,194,153,0.6,62,344,0.2,0.35,349,0.78,0.5,0.63,16,14,351693,121
Dudi Sela,2017,0.63,0.7,0.28,0.52,0.53,72,0.44,180,185,0.58,75,336,0.24,0.38,337,0.77,0.51,0.63,13,17,474395,94
Nikoloz Basilashvili,2016,0.63,0.68,0.27,0.49,0.51,45,0.41,114,97,0.54,65,186,0.22,0.37,187,0.72,0.5,0.61,8,10,234428,80
Jurgen Melzer,2011,0.63,0.69,0.32,0.51,0.49,207,0.4,267,325,0.58,100,506,0.26,0.39,499,0.78,0.51,0.62,22,23,683091,581
Yen-Hsun Lu,2013,0.63,0.7,0.3,0.52,0.52,131,0.39,216,265,0.58,108,418,0.25,0.39,419,0.79,0.51,0.63,17,17,404039,98
Jeremy Chardy,2017,0.63,0.73,0.27,0.49,0.48,290,0.36,246,208,0.64,159,429,0.17,0.35,424,0.79,0.49,0.64,18,21,553224,84
Victor Baluda,2014,0.63,0.59,0.19,0.54,0.34,4,1.0,8,1,0.63,2,10,0.1,0.27,9,0.67,0.44,0.57,0,0,11172,1107
Mikhail Youzhny,2014,0.63,0.66,0.3,0.53,0.5,145,0.4,303,291,0.6,100,479,0.24,0.38,492,0.75,0.5,0.61,18,23,693920,97
Benjamin Mitchell,2016,0.63,0.65,0.19,0.45,0.43,4,0.0,8,0,0.63,3,9,0.0,0.29,9,0.67,0.43,0.58,0,1,36872,561
Di Wu,2017,0.63,0.66,0.16,0.49,0.38,13,0.3,25,10,0.52,6,36,0.08,0.25,36,0.67,0.44,0.6,2,2,23040,249
Andrey Rublev,2014,0.63,0.78,0.1,0.58,0.45,4,0.0,4,1,0.75,0,12,0.0,0.26,12,0.92,0.48,0.7,1,1,18235,33
Dusan Lajovic,2015,0.63,0.68,0.28,0.53,0.49,132,0.37,254,265,0.59,67,449,0.22,0.37,449,0.77,0.5,0.62,17,21,374745,93
Ze Zhang,2014,0.63,0.64,0.25,0.51,0.48,10,0.29,27,14,0.63,8,34,0.12,0.33,34,0.71,0.46,0.59,1,4,94208,248
Frank Dancevic,2013,0.63,0.7,0.26,0.51,0.5,48,0.36,52,44,0.62,14,82,0.2,0.36,81,0.75,0.49,0.63,3,4,144211,328
Blake Mott,2017,0.63,0.63,0.27,0.52,0.33,7,1.0,8,1,0.38,3,14,0.07,0.29,14,0.64,0.44,0.59,0,1,75996,590
Gonzalo Lama,2014,0.63,0.59,0.23,0.6,0.0,3,0.0,7,0,0.57,2,9,0.0,0.14,9,0.67,0.4,0.59,2,2,36615,409
Andrey Rublev,2015,0.63,0.68,0.27,0.5,0.5,68,0.36,123,111,0.59,51,210,0.19,0.35,207,0.75,0.48,0.61,8,13,157670,33
Marco Cecchinato,2016,0.63,0.66,0.24,0.47,0.41,29,0.27,95,49,0.6,23,134,0.1,0.3,134,0.72,0.45,0.59,3,10,171578,100
Marco Cecchinato,2015,0.63,0.64,0.23,0.43,0.42,18,0.42,31,19,0.35,14,58,0.14,0.31,57,0.65,0.44,0.56,0,4,157763,100
Maximo Gonzalez,2014,0.63,0.65,0.27,0.53,0.52,18,0.46,70,54,0.61,16,99,0.25,0.38,100,0.73,0.5,0.6,3,4,138203,538
Christian Lindell,2016,0.63,0.59,0.3,0.29,0.46,4,0.25,6,4,0.33,2,9,0.11,0.37,8,0.5,0.41,0.48,0,1,29516,357
Tim Smyczek,2013,0.63,0.69,0.29,0.51,0.51,112,0.38,162,161,0.62,46,264,0.23,0.38,263,0.77,0.5,0.62,8,11,272306,123
Tommy Robredo,2009,0.63,0.72,0.31,0.54,0.51,294,0.44,412,484,0.61,145,842,0.25,0.39,837,0.81,0.52,0.65,32,16,203937,202
Omar Jasika,2017,0.63,0.58,0.16,0.36,0.5,1,0.0,12,1,0.5,5,12,0.0,0.27,11,0.45,0.39,0.5,0,1,70175,531
Adrian Ungur,2010,0.63,0.57,0.27,0.56,0.5,2,0.33,19,15,0.58,6,25,0.2,0.35,24,0.67,0.46,0.57,3,2,48043,548
Mirza Basic,2013,0.63,0.7,0.25,0.54,0.39,22,0.35,35,17,0.77,7,48,0.13,0.3,46,0.83,0.48,0.64,2,2,67423,92
Rajeev Ram,2016,0.63,0.72,0.27,0.5,0.44,214,0.32,199,184,0.59,89,387,0.15,0.34,385,0.79,0.49,0.64,37,25,532660,1054
Tommy Robredo,2015,0.63,0.7,0.3,0.51,0.47,160,0.42,291,280,0.61,85,513,0.23,0.37,502,0.77,0.5,0.63,3,5,31611,202
Daniel Brands,2016,0.63,0.73,0.24,0.51,0.48,74,0.42,45,33,0.64,30,94,0.15,0.34,93,0.83,0.5,0.65,2,4,179978,428
Tim Smyczek,2011,0.63,0.62,0.32,0.54,0.48,17,0.34,81,73,0.6,21,115,0.22,0.38,116,0.72,0.48,0.59,3,6,83460,123
Rajeev Ram,2013,0.63,0.7,0.26,0.46,0.46,111,0.37,131,102,0.61,39,213,0.18,0.34,209,0.76,0.48,0.61,10,15,91586,1054
Gael Monfils,2012,0.63,0.71,0.32,0.45,0.53,198,0.42,202,238,0.62,120,342,0.29,0.4,336,0.77,0.51,0.62,19,10,350599,42
Yuichi Sugita,2017,0.63,0.68,0.29,0.5,0.52,110,0.43,249,224,0.59,78,406,0.24,0.38,407,0.75,0.5,0.61,22,16,727828,43
Philipp Kohlschreiber,2015,0.63,0.72,0.3,0.57,0.51,270,0.43,277,365,0.6,74,623,0.25,0.38,618,0.82,0.52,0.66,32,23,761540,40
Santiago Giraldo,2011,0.63,0.68,0.3,0.51,0.5,202,0.45,394,362,0.6,72,663,0.24,0.38,663,0.76,0.5,0.62,31,27,463612,293
Marcel Granollers,2016,0.63,0.69,0.31,0.52,0.48,186,0.41,307,298,0.6,68,542,0.22,0.38,535,0.77,0.5,0.63,21,25,867768,129
Horacio Zeballos,2010,0.63,0.69,0.25,0.5,0.44,246,0.34,299,219,0.6,89,513,0.15,0.32,504,0.76,0.47,0.62,16,28,401850,67
Go Soeda,2016,0.63,0.73,0.18,0.49,0.53,4,0.17,9,6,0.56,1,15,0.07,0.31,15,0.73,0.48,0.64,0,1,100908,138
Federico Gaio,2016,0.63,0.6,0.33,0.25,0.5,0,0.43,12,7,0.58,3,10,0.3,0.39,10,0.5,0.43,0.47,0,1,76507,320
Fred Gil,2012,0.63,0.65,0.29,0.51,0.5,37,0.45,169,136,0.59,42,247,0.25,0.38,246,0.72,0.49,0.6,4,4,23295,440
Albert Ramos-Vinolas,2015,0.63,0.68,0.28,0.53,0.47,139,0.36,284,252,0.64,84,459,0.2,0.36,450,0.77,0.49,0.63,16,23,492583,24
Gael Monfils,2011,0.63,0.72,0.33,0.52,0.49,414,0.41,344,427,0.62,192,697,0.25,0.39,698,0.81,0.52,0.65,38,16,1061670,42
Joao Souza,2013,0.63,0.77,0.2,0.51,0.37,28,0.0,22,12,0.64,8,46,0.0,0.27,44,0.82,0.46,0.68,1,4,83789,305
Donald Young,2013,0.63,0.62,0.35,0.44,0.61,13,0.4,44,42,0.64,22,48,0.35,0.45,48,0.67,0.5,0.55,2,3,140705,131
Donald Young,2011,0.63,0.67,0.32,0.52,0.49,100,0.43,260,242,0.57,122,422,0.25,0.39,426,0.74,0.5,0.61,19,17,406036,131
Tommy Haas,2015,0.63,0.7,0.24,0.52,0.42,44,0.33,95,57,0.59,52,151,0.13,0.31,152,0.74,0.47,0.63,2,9,183561,298
Lukas Rosol,2017,0.63,0.79,0.15,0.53,0.52,52,0.29,29,24,0.66,22,82,0.09,0.29,82,0.88,0.49,0.69,3,4,150492,284
Nicolas Jarry,2017,0.63,0.64,0.22,0.46,0.44,16,0.21,27,14,0.67,10,33,0.09,0.33,35,0.74,0.46,0.57,2,3,159234,65
Jurgen Zopp,2016,0.63,0.7,0.29,0.49,0.41,17,0.11,13,19,0.46,10,32,0.06,0.33,30,0.77,0.47,0.62,1,2,58384,137
Yannick Maden,2017,0.63,0.7,0.3,0.45,0.51,9,0.33,16,21,0.56,2,31,0.23,0.38,30,0.77,0.49,0.61,1,1,73943,132
Dustin Brown,2013,0.63,0.74,0.25,0.49,0.43,61,0.46,40,24,0.73,14,73,0.15,0.32,73,0.85,0.49,0.65,2,3,167544,162
Dustin Brown,2014,0.63,0.74,0.26,0.49,0.49,243,0.34,167,172,0.6,130,363,0.16,0.35,360,0.81,0.5,0.64,13,16,330144,162
Pablo Andujar,2009,0.63,0.61,0.3,0.49,0.45,24,0.27,114,77,0.49,45,151,0.14,0.36,149,0.61,0.46,0.56,1,12,154820,154
Guido Andreozzi,2015,0.63,0.69,0.26,0.55,0.6,4,0.45,10,11,0.7,4,18,0.28,0.39,17,0.82,0.51,0.64,1,1,60553,161
Joao Souza,2014,0.63,0.72,0.32,0.54,0.47,12,0.38,28,26,0.64,4,48,0.21,0.38,50,0.8,0.51,0.65,1,3,106448,305
Santiago Giraldo,2014,0.63,0.7,0.3,0.5,0.49,201,0.42,375,343,0.63,77,630,0.23,0.37,633,0.78,0.5,0.63,29,29,929828,293
Joao Souza,2011,0.63,0.68,0.32,0.47,0.45,108,0.35,98,99,0.5,43,172,0.2,0.37,172,0.72,0.49,0.6,7,8,146605,305
Hiroki Moriya,2012,0.63,0.66,0.21,0.47,0.43,7,0.31,43,13,0.65,15,51,0.08,0.31,51,0.71,0.46,0.59,1,3,80092,309
Borna Coric,2016,0.63,0.7,0.27,0.55,0.5,249,0.35,239,279,0.54,88,480,0.2,0.36,476,0.77,0.5,0.64,22,24,672059,39
Niels Desein,2014,0.63,0.62,0.15,0.32,0.3,5,0.5,12,2,0.5,4,13,0.08,0.21,12,0.5,0.38,0.51,0,1,79073,451
Blaz Kavcic,2013,0.63,0.68,0.31,0.5,0.5,107,0.41,183,180,0.58,60,310,0.24,0.38,308,0.75,0.5,0.62,11,15,294717,127
Simone Bolelli,2013,0.63,0.67,0.26,0.51,0.49,50,0.4,76,70,0.43,24,163,0.17,0.34,162,0.73,0.47,0.61,6,8,172173,144
Blaz Kavcic,2011,0.63,0.66,0.31,0.46,0.52,108,0.44,243,216,0.56,127,350,0.27,0.4,345,0.69,0.49,0.59,13,18,241237,127
Norbert Gombos,2014,0.63,0.7,0.26,0.43,0.47,13,0.29,18,14,0.61,14,24,0.17,0.35,24,0.71,0.47,0.6,1,5,96821,147
Yann Marti,2016,0.63,0.59,0.26,0.45,0.65,0,0.67,18,6,0.61,6,15,0.27,0.39,15,0.53,0.47,0.54,0,1,23172,1062
Steve Darcis,2013,0.63,0.67,0.23,0.54,0.51,32,0.3,60,46,0.6,21,108,0.13,0.34,106,0.77,0.48,0.62,5,6,170357,140
Tim Smyczek,2010,0.63,0.59,0.22,0.52,0.54,11,0.5,52,30,0.62,12,59,0.25,0.36,58,0.66,0.47,0.56,1,4,72358,123
Kimmer Coppejans,2014,0.63,0.65,0.21,0.6,0.43,4,0.5,9,4,0.67,3,14,0.14,0.29,13,0.77,0.46,0.63,0,1,59377,313
Mikhail Elgin,2009,0.63,0.74,0.38,0.37,0.43,17,0.25,11,12,0.73,2,18,0.17,0.4,17,0.82,0.5,0.61,3,3,25419,831
Mikhail Youzhny,2009,0.62,0.71,0.31,0.52,0.51,268,0.4,407,513,0.6,148,800,0.26,0.39,797,0.8,0.51,0.64,42,28,969006,97
Rubin Statham,2009,0.62,0.6,0.3,0.38,0.41,5,0.2,15,5,0.73,4,9,0.11,0.35,8,0.5,0.44,0.51,0,1,4872,354
Jason Jung,2017,0.62,0.58,0.29,0.5,0.35,8,0.67,15,3,0.47,6,18,0.11,0.31,18,0.56,0.44,0.55,0,4,55008,155
Gael Monfils,2017,0.62,0.72,0.33,0.5,0.49,314,0.41,242,296,0.62,137,472,0.26,0.39,468,0.81,0.51,0.64,20,14,1003855,42
Tatsuma Ito,2017,0.62,0.65,0.17,0.51,0.38,3,0.25,10,8,0.5,7,24,0.08,0.26,23,0.78,0.44,0.6,0,2,124423,146
Jurgen Melzer,2012,0.62,0.69,0.28,0.51,0.47,204,0.45,291,222,0.57,132,521,0.19,0.35,512,0.75,0.49,0.62,20,25,727806,581
Tatsuma Ito,2016,0.62,0.66,0.24,0.54,0.52,29,0.49,43,37,0.49,23,85,0.21,0.37,83,0.73,0.49,0.61,3,4,101220,146
Jimmy Wang,2014,0.62,0.64,0.27,0.51,0.53,38,0.47,73,58,0.56,26,113,0.24,0.36,117,0.73,0.49,0.6,0,1,4347,1017
Mirza Basic,2014,0.62,0.59,0.28,0.33,0.65,3,0.55,14,11,0.43,3,15,0.4,0.45,15,0.47,0.47,0.5,3,2,32600,92
Mikhail Youzhny,2012,0.62,0.71,0.31,0.52,0.54,236,0.41,327,409,0.6,116,649,0.26,0.39,660,0.8,0.52,0.64,33,21,824396,97
JC Aragone,2017,0.62,0.57,0.13,0.42,0.54,4,0.0,9,2,0.44,2,13,0.0,0.28,12,0.58,0.41,0.51,0,1,59260,334
Steve Darcis,2017,0.62,0.68,0.31,0.48,0.48,108,0.46,246,196,0.58,51,381,0.24,0.38,378,0.73,0.49,0.61,20,20,504846,140
Thai-Son Kwiatkowski,2017,0.62,0.66,0.27,0.51,0.5,10,0.54,18,13,0.44,14,36,0.19,0.35,35,0.71,0.47,0.6,0,2,63937,575
Philipp Davydenko,2012,0.62,0.5,0.15,0.48,0.63,0,0.67,13,3,0.62,3,9,0.22,0.32,9,0.44,0.42,0.49,0,1,11983,1071
Marinko Matosevic,2012,0.62,0.66,0.28,0.5,0.5,153,0.43,284,191,0.65,89,406,0.2,0.36,412,0.76,0.49,0.6,17,19,330778,338
Steve Darcis,2015,0.62,0.66,0.28,0.51,0.47,47,0.39,146,93,0.66,42,196,0.18,0.35,199,0.75,0.49,0.6,12,13,272363,140
Richard Gasquet,2017,0.62,0.72,0.3,0.53,0.54,142,0.41,290,364,0.64,92,574,0.26,0.39,581,0.82,0.52,0.65,29,18,985805,34
Norbert Gombos,2017,0.62,0.72,0.28,0.41,0.48,79,0.3,120,96,0.66,63,166,0.17,0.36,164,0.75,0.48,0.6,5,10,254740,147
Facundo Bagnis,2014,0.62,0.68,0.27,0.47,0.41,29,0.44,62,34,0.61,25,90,0.17,0.33,90,0.73,0.47,0.6,2,3,143989,223
Adrian Mannarino,2014,0.62,0.67,0.29,0.51,0.51,192,0.45,282,279,0.56,103,496,0.25,0.38,493,0.75,0.5,0.61,16,23,514847,26
Facundo Bagnis,2017,0.62,0.69,0.26,0.46,0.45,87,0.34,130,71,0.62,64,188,0.13,0.33,191,0.74,0.47,0.6,3,12,224746,223
Pablo Andujar,2011,0.62,0.65,0.32,0.49,0.5,83,0.45,393,352,0.58,140,567,0.28,0.39,554,0.7,0.49,0.59,25,28,530351,154
Jurgen Zopp,2014,0.62,0.67,0.13,0.52,0.43,11,0.33,11,9,0.18,8,36,0.08,0.25,35,0.74,0.44,0.62,1,2,123462,137
Lukas Lacko,2015,0.62,0.69,0.2,0.49,0.45,107,0.27,109,78,0.54,33,199,0.11,0.3,190,0.74,0.46,0.61,3,12,281271,106
Matthias Bachinger,2015,0.62,0.71,0.25,0.53,0.53,41,0.26,41,47,0.68,25,82,0.15,0.36,82,0.84,0.49,0.64,2,4,127081,160
Victor Estrella Burgos,2014,0.62,0.7,0.25,0.52,0.46,75,0.47,95,79,0.52,44,203,0.18,0.34,201,0.77,0.49,0.63,9,10,326877,171
Isak Arvidsson,2016,0.62,0.63,0.21,0.5,0.34,5,0.4,14,5,0.79,3,11,0.18,0.28,11,0.73,0.44,0.58,2,4,11377,900
Matthew Barton,2016,0.62,0.81,0.2,0.5,0.41,83,0.31,29,29,0.69,25,94,0.1,0.28,97,0.91,0.49,0.69,3,3,131850,847
Gilles Muller,2014,0.62,0.78,0.22,0.48,0.42,168,0.23,51,56,0.55,40,136,0.1,0.29,135,0.83,0.48,0.67,6,6,234612,28
Carlos Salamanca,2013,0.62,0.66,0.19,0.39,0.58,8,0.25,8,4,0.5,4,9,0.11,0.33,9,0.56,0.45,0.56,0,1,31226,761
Anil Yuksel,2017,0.62,0.63,0.07,0.44,0.25,1,0.0,9,0,0.67,1,9,0.0,0.12,8,0.63,0.39,0.55,0,0,4645,763
James Ward,2017,0.62,0.7,0.14,0.5,0.43,9,0.0,16,0,0.5,3,22,0.0,0.26,23,0.65,0.44,0.62,0,2,67537,798
Jerzy Janowicz,2010,0.62,0.66,0.24,0.48,0.42,3,0.2,13,5,0.62,10,20,0.05,0.32,18,0.72,0.45,0.59,1,3,45742,178
Jerzy Janowicz,2012,0.62,0.82,0.27,0.57,0.44,160,0.43,50,72,0.6,47,190,0.16,0.34,187,0.89,0.52,0.72,14,4,469587,178
Leonardo Mayer,2016,0.62,0.71,0.27,0.48,0.5,112,0.36,163,146,0.63,84,285,0.18,0.35,288,0.79,0.49,0.62,12,15,308291,46
Sergiy Stakhovsky,2015,0.62,0.72,0.27,0.51,0.47,292,0.38,326,296,0.67,106,581,0.19,0.35,566,0.81,0.49,0.64,20,27,630295,121
Marcus Willis,2016,0.62,0.69,0.33,0.43,0.44,23,0.45,32,11,0.81,14,27,0.19,0.37,26,0.77,0.5,0.59,1,1,71491,680
Robin Haase,2013,0.62,0.72,0.28,0.49,0.49,326,0.42,382,338,0.64,152,692,0.2,0.36,693,0.8,0.5,0.63,30,26,543285,44
Jerzy Janowicz,2017,0.62,0.78,0.19,0.53,0.42,116,0.28,64,61,0.66,46,178,0.1,0.28,175,0.87,0.48,0.68,6,6,283926,178
Sergiy Stakhovsky,2011,0.62,0.7,0.31,0.5,0.47,265,0.35,333,330,0.57,93,565,0.21,0.37,569,0.75,0.49,0.62,25,27,484509,121
Peter Polansky,2016,0.62,0.62,0.22,0.64,0.56,7,0.53,25,15,0.72,7,34,0.24,0.35,34,0.79,0.49,0.63,1,2,99391,124
Tim Smyczek,2015,0.62,0.64,0.27,0.51,0.44,62,0.35,157,95,0.59,47,218,0.15,0.34,214,0.7,0.47,0.59,5,13,294388,123
Tim Smyczek,2014,0.62,0.66,0.27,0.49,0.49,80,0.41,132,100,0.54,57,216,0.19,0.35,216,0.72,0.48,0.6,7,12,255499,123
Ramkumar Ramanathan,2016,0.62,0.72,0.28,0.51,0.47,21,0.38,18,21,0.56,9,47,0.17,0.35,47,0.83,0.49,0.64,3,5,68998,116
Gerald Melzer,2015,0.62,0.67,0.24,0.49,0.49,26,0.27,57,44,0.65,12,76,0.16,0.35,78,0.74,0.48,0.61,4,4,94782,115
Nick Kyrgios,2013,0.62,0.72,0.15,0.45,0.37,21,0.22,24,9,0.54,14,46,0.04,0.24,45,0.76,0.44,0.62,2,2,100679,25
Brayden Schnur,2017,0.62,0.64,0.25,0.5,0.47,11,0.22,11,9,0.73,7,16,0.13,0.34,15,0.8,0.47,0.59,0,3,62344,199
Yuichi Sugita,2016,0.62,0.66,0.25,0.49,0.47,48,0.44,127,81,0.65,38,169,0.21,0.34,168,0.73,0.48,0.6,6,10,230392,43
Guido Andreozzi,2017,0.62,0.74,0.28,0.52,0.47,15,0.22,17,27,0.53,12,40,0.15,0.35,38,0.79,0.49,0.66,1,2,100007,161
Yuichi Sugita,2014,0.62,0.74,0.18,0.51,0.43,30,0.25,24,16,0.79,9,51,0.08,0.29,51,0.9,0.48,0.66,0,3,124125,43
Tobias Kamke,2016,0.62,0.65,0.31,0.49,0.52,10,0.47,62,64,0.47,31,105,0.29,0.39,107,0.69,0.5,0.59,5,5,157666,213
Tommy Robredo,2011,0.62,0.7,0.3,0.55,0.53,121,0.4,200,248,0.63,76,375,0.27,0.39,381,0.8,0.52,0.65,11,6,66870,202
Donald Young,2014,0.62,0.69,0.3,0.5,0.5,122,0.39,283,273,0.58,143,482,0.22,0.38,492,0.76,0.5,0.62,18,22,518144,131
Tommy Robredo,2016,0.62,0.67,0.24,0.51,0.45,40,0.22,74,54,0.64,21,109,0.11,0.33,106,0.75,0.47,0.61,1,1,9407,202
Carlos Berlocq,2011,0.62,0.67,0.32,0.48,0.5,147,0.36,289,341,0.53,106,454,0.27,0.4,454,0.7,0.49,0.6,14,23,346934,114
Ruben Bemelmans,2015,0.62,0.71,0.24,0.5,0.46,86,0.36,89,64,0.55,47,158,0.15,0.33,157,0.75,0.48,0.63,3,10,298028,108
Marcel Granollers,2011,0.62,0.69,0.32,0.5,0.49,142,0.42,311,348,0.54,92,578,0.25,0.38,571,0.75,0.5,0.62,27,25,978260,129
Marcel Granollers,2012,0.62,0.69,0.32,0.46,0.47,186,0.35,334,372,0.56,113,566,0.23,0.38,558,0.74,0.49,0.61,23,23,589760,129
Rhyne Williams,2015,0.62,0.65,0.21,0.26,0.3,3,0.0,5,1,0.2,4,8,0.0,0.25,8,0.5,0.38,0.5,0,0,1992,1443
Leonardo Mayer,2013,0.62,0.69,0.28,0.49,0.46,135,0.41,200,160,0.58,108,346,0.19,0.35,342,0.75,0.48,0.61,13,18,345468,46
Feliciano Lopez,2009,0.62,0.74,0.28,0.52,0.42,378,0.38,247,202,0.62,107,550,0.14,0.32,538,0.83,0.49,0.66,17,24,509029,30
Ivan Dodig,2017,0.62,0.7,0.3,0.44,0.54,27,0.35,35,46,0.51,29,65,0.25,0.39,64,0.73,0.5,0.6,43,23,700132,407
Lorenzo Sonego,2016,0.62,0.59,0.27,0.48,0.63,5,0.33,15,12,0.6,4,17,0.24,0.39,16,0.63,0.47,0.55,0,1,38235,159
Christopher O'Connell,2017,0.62,0.65,0.17,0.5,0.42,8,0.07,24,15,0.67,7,29,0.03,0.28,30,0.73,0.44,0.59,0,2,62591,509
Roberto Carballes Baena,2016,0.62,0.68,0.29,0.5,0.49,61,0.42,96,89,0.54,39,170,0.22,0.37,164,0.73,0.49,0.61,6,9,149433,75
Pablo Carreno Busta,2016,0.62,0.7,0.3,0.52,0.52,294,0.46,397,454,0.56,118,768,0.27,0.39,775,0.77,0.51,0.63,41,26,990822,12
Matthew Ebden,2012,0.62,0.69,0.28,0.46,0.49,206,0.34,298,251,0.59,154,453,0.19,0.36,455,0.73,0.48,0.6,17,23,340582,78
David Goffin,2013,0.62,0.65,0.32,0.49,0.48,98,0.43,268,204,0.55,164,383,0.23,0.38,382,0.68,0.48,0.58,11,23,353915,10
Grigor Dimitrov,2013,0.62,0.76,0.29,0.51,0.48,469,0.38,287,377,0.6,164,668,0.22,0.37,689,0.83,0.52,0.67,37,23,929859,5
Paolo Lorenzi,2012,0.62,0.65,0.28,0.5,0.49,64,0.34,181,156,0.5,51,295,0.18,0.35,290,0.69,0.47,0.59,8,17,275321,63
Matthew Ebden,2011,0.62,0.71,0.29,0.48,0.48,115,0.46,119,102,0.57,54,225,0.21,0.36,223,0.77,0.49,0.62,10,10,210330,78
Paolo Lorenzi,2010,0.62,0.65,0.27,0.45,0.46,65,0.25,145,110,0.58,68,195,0.14,0.34,190,0.68,0.46,0.57,3,14,162861,63
Luke Saville,2013,0.62,0.53,0.28,0.48,0.46,9,0.6,18,5,0.56,7,19,0.16,0.36,19,0.58,0.43,0.51,0,1,42168,452
Florian Mayer,2014,0.62,0.67,0.3,0.54,0.5,78,0.41,102,106,0.58,18,179,0.24,0.38,175,0.75,0.5,0.62,8,6,250039,74
Federico Delbonis,2017,0.62,0.69,0.28,0.52,0.51,60,0.39,137,138,0.61,65,241,0.22,0.37,240,0.78,0.5,0.63,11,10,356401,79
Joao Sousa,2013,0.62,0.68,0.29,0.47,0.49,77,0.4,202,184,0.58,62,323,0.23,0.37,322,0.74,0.49,0.6,16,14,494004,64
Javier Marti,2012,0.62,0.63,0.35,0.43,0.48,14,0.38,39,50,0.33,11,69,0.28,0.4,66,0.61,0.47,0.55,1,5,88160,265
Federico Delbonis,2014,0.62,0.71,0.27,0.53,0.49,195,0.36,288,278,0.63,122,559,0.18,0.35,555,0.81,0.5,0.64,20,27,561477,79
Ze Zhang,2011,0.62,0.71,0.29,0.42,0.47,10,0.38,17,16,0.59,13,27,0.22,0.35,26,0.73,0.47,0.6,1,4,52053,248
Federico Delbonis,2012,0.62,0.71,0.32,0.49,0.49,39,0.45,76,85,0.55,41,158,0.24,0.38,155,0.78,0.5,0.63,6,9,125955,79
Dmitry Tursunov,2010,0.62,0.68,0.25,0.55,0.48,86,0.36,118,86,0.6,36,190,0.16,0.34,196,0.76,0.49,0.63,6,9,152604,516
Lucas Miedler,2015,0.62,0.63,0.23,0.56,0.61,2,0.25,8,8,0.63,0,13,0.15,0.36,13,0.77,0.48,0.61,0,0,6130,317
Philipp Kohlschreiber,2010,0.62,0.75,0.31,0.51,0.5,388,0.41,351,437,0.64,136,719,0.25,0.38,723,0.83,0.52,0.66,37,24,637513,40
Marco Chiudinelli,2013,0.62,0.7,0.26,0.45,0.49,17,0.37,38,19,0.71,17,51,0.14,0.34,50,0.78,0.47,0.6,1,5,88039,464
Santiago Giraldo,2010,0.62,0.7,0.27,0.53,0.49,192,0.34,237,268,0.59,66,491,0.19,0.36,482,0.8,0.49,0.63,20,24,349633,293
Horacio Zeballos,2013,0.62,0.7,0.24,0.49,0.45,206,0.37,282,200,0.62,100,454,0.16,0.32,460,0.77,0.48,0.62,15,23,454229,67
Jiri Vesely,2017,0.62,0.7,0.28,0.49,0.48,276,0.44,320,265,0.61,187,553,0.21,0.36,552,0.78,0.49,0.62,24,26,695065,72
Horacio Zeballos,2012,0.62,0.68,0.27,0.5,0.46,66,0.36,83,73,0.6,33,147,0.18,0.34,145,0.77,0.48,0.61,3,9,140414,67
Matteo Donati,2015,0.62,0.7,0.29,0.42,0.47,14,0.44,16,9,0.63,3,21,0.19,0.36,22,0.73,0.48,0.59,1,1,84600,250
